t,y
0.0,0.0
1.0,1.2479166692686633e-05
2.0,4.983333416527778e-05
3.0,0.00011193750631230477
4.0,0.00019866669324444512
5.0,0.0003098959143744613
6.0,0.0004455002014875163
7.0,0.0006053546017958674
8.0,0.0007893341809779398
9.0,0.0009973140262017823
10.0,0.0012291692491329079
11.0,0.0014847749889265215
12.0,0.001764006415204138
13.0,0.002066738731014595
14.0,0.002392847175779464
15.0,0.002742207028222865
16.0,0.003114693609285685
17.0,0.003510182285024214
18.0,0.003928548469493196
19.0,0.004369667627613302
20.0,0.004833415278023039
21.0,0.005319666995915089
22.0,0.0058282984158570935
23.0,0.00635918523459689
24.0,0.006912203213852207
25.0,0.0074872281830848245
26.0,0.0080841360422592
27.0,0.008702802764585604
28.0,0.009343104399247706
29.0,0.010004917074114708
30.0,0.010688116998437951
31.0,0.011392580465532065
32.0,0.012118183855440641
33.0,0.012864803637586453
34.0,0.013632316373406216
35.0,0.01442059871896993
36.0,0.01522952742758479
37.0,0.01605897935238368
38.0,0.01690883144889827
39.0,0.017778960777616735
40.0,0.018669244506526093
41.0,0.019579559913639175
42.0,0.020509784389506253
43.0,0.02145979543971135
44.0,0.022429470687353206
45.0,0.023418687875510946
46.0,0.02442732486969449
47.0,0.025455259660279634
48.0,0.0265023703649279
49.0,0.02756853523099118
50.0,0.02865363263790106
51.0,0.029757541099543035
52.0,0.030880139266615467
53.0,0.03202130592897338
54.0,0.033180920017957104
55.0,0.03435886060870575
56.0,0.03555500692245561
57.0,0.036769238328823416
58.0,0.03800143434807447
59.0,0.03925147465337585
60.0,0.04051923907303434
61.0,0.041804607592719555
62.0,0.04310746035767191
63.0,0.04442767767489567
64.0,0.04576514001533694
65.0,0.04711972801604684
66.0,0.04849132248232961
67.0,0.049879804389875916
68.0,0.05128505488688119
69.0,0.052706955296149126
70.0,0.05414538711718037
71.0,0.05560023202824632
72.0,0.057071371888448165
73.0,0.05855868873976116
74.0,0.06006206480906408
75.0,0.06158138251015404
76.0,0.0631165244457465
77.0,0.06466737340946062
78.0,0.06623381238779004
79.0,0.06781572456205887
80.0,0.06941299331036314
81.0,0.07102550220949774
82.0,0.07265313503686867
83.0,0.0742957757723907
84.0,0.07595330860037079
85.0,0.07762561791137672
86.0,0.07931258830409138
87.0,0.08101410458715266
88.0,0.08273005178097886
89.0,0.08446031511957978
90.0,0.08620478005235332
91.0,0.08796333224586794
92.0,0.08973585758563067
93.0,0.09152224217784087
94.0,0.09332237235112975
95.0,0.09513613465828576
96.0,0.09696341587796554
97.0,0.09880410301639105
98.0,0.1006580833090322
99.0,0.10252524422227562
100.0,0.1044054734550793
101.0,0.10629865894061312
102.0,0.1082046888478853
103.0,0.1101234515833551
104.0,0.11205483579253128
105.0,0.11399873036155685
106.0,0.11595502441877964
107.0,0.11792360733630933
108.0,0.11990436873156043
109.0,0.12189719846878146
110.0,0.12390198666057031
111.0,0.12591862366937612
112.0,0.12794700010898696
113.0,0.1299870068460044
114.0,0.1320385350013038
115.0,0.1341014759514816
116.0,0.1361757213302884
117.0,0.13826116303004912
118.0,0.14035769320306898
119.0,0.14246520426302647
120.0,0.14458358888635273
121.0,0.14671274001359733
122.0,0.1488525508507808
123.0,0.15100291487073383
124.0,0.15316372581442303
125.0,0.15533487769226342
126.0,0.15751626478541775
127.0,0.15970778164708244
128.0,0.16190932310376036
129.0,0.16412078425652055
130.0,0.16634206048224473
131.0,0.16857304743486068
132.0,0.1708136410465627
133.0,0.17306373752901877
134.0,0.1753232333745651
135.0,0.1775920253573873
136.0,0.1798700105346891
137.0,0.18215708624784774
138.0,0.1844531501235567
139.0,0.18675810007495586
140.0,0.18907183430274827
141.0,0.19139425129630486
142.0,0.193725249834756
143.0,0.1960647289880705
144.0,0.198412588118122
145.0,0.2007687268797429
146.0,0.2031330452217653
147.0,0.20550544338805
148.0,0.20788582191850247
149.0,0.21027408165007688
150.0,0.2126701237177672
151.0,0.2150738495555862
