t,y
0.0,0.0
1.0,0.09975041614635374
2.0,0.19900332501663895
3.0,0.2977612079387468
4.0,0.396026533864894
5.0,0.49380175943334664
6.0,0.5910893290298365
7.0,0.6878916748486704
8.0,0.7842112169535358
9.0,0.8800503633380018
10.0,0.9754115099857197
11.0,1.0702970409303225
12.0,1.1647093283150258
13.0,1.2586507324519314
14.0,1.3521236018810354
15.0,1.445130273428942
16.0,1.5376730722672842
17.0,1.6297543119708529
18.0,1.7213762945754365
19.0,1.812541310635372
20.0,1.9032516392808092
21.0,1.9935095482746885
22.0,2.083317294069436
23.0,2.172677121863374
24.0,2.261591265656851
25.0,2.350061948308093
26.0,2.438091381588775
27.0,2.525681766239313
28.0,2.6128352920238855
29.0,2.699554137785176
30.0,2.785840471498846
31.0,2.871696450327732
32.0,2.957124220675776
33.0,3.042125918241686
34.0,3.126703668072329
35.0,3.210859584615856
36.0,3.294595771774563
37.0,3.37791432295749
38.0,3.460817321132757
39.0,3.543306838879636
40.0,3.6253849384403667
41.0,3.7070536717717135
42.0,3.7883150805962624
43.0,3.869171196453467
44.0,3.9496240407504346
45.0,4.029675624812464
46.0,4.109327949933325
47.0,4.1885830074252945
48.0,4.267442778668937
49.0,4.345909235162643
50.0,4.423984338571908
51.0,4.501670040778388
52.0,4.57896828392868
53.0,4.655881000482892
54.0,4.732410113262943
55.0,4.808557535500636
56.0,4.8843251708854964
57.0,4.959714913612354
58.0,5.034728648428702
59.0,5.109368250681819
60.0,5.18363558636565
61.0,5.257532512167453
62.0,5.331060875514222
63.0,5.404222514618872
64.0,5.477019258526189
65.0,5.549452927158564
66.0,5.621525331361484
67.0,5.693238272948809
68.0,5.764593544747814
69.0,5.835592930644008
70.0,5.90623820562574
71.0,5.97653113582856
72.0,6.046473478579387
73.0,6.116066982440432
74.0,6.185313387252915
75.0,6.254214424180565
76.0,6.322771815752891
77.0,6.390987275908256
78.0,6.458862510036714
79.0,6.526399215022656
80.0,6.593599079287222
81.0,6.66046378283052
82.0,6.726994997273621
83.0,6.793194385900351
84.0,6.859063603698873
85.0,6.9246042974030635
86.0,6.989818105533678
87.0,7.054706658439317
88.0,7.119271578337181
89.0,7.183514479353633
90.0,7.247436967564544
91.0,7.311040641035446
92.0,7.37432708986149
93.0,7.437297896207193
94.0,7.499954634345993
95.0,7.562298870699607
96.0,7.624332163877192
97.0,7.686056064714307
98.0,7.7474721163116875
99.0,7.808581854073823
100.0,7.869386805747341
101.0,7.9298884914592
102.0,7.990088423754692
103.0,8.049988107635262
104.0,8.109589040596125
105.0,8.16889271266371
106.0,8.22790060643291
107.0,8.286614197104136
108.0,8.34503495252022
109.0,8.403164333203085
110.0,8.461003792390278
111.0,8.518554776071293
112.0,8.575818723023716
113.0,8.632797064849205
114.0,8.689491226009272
115.0,8.7459026238609
116.0,8.802032668691973
117.0,8.857882763756535
118.0,8.913454305309873
119.0,8.968748682643419
120.0,9.023767278119484
121.0,9.078511467205827
122.0,9.132982618510018
123.0,9.187182093813684
124.0,9.241111248106526
125.0,9.29477142962021
126.0,9.34816397986207
127.0,9.401290233648645
128.0,9.454151519139044
129.0,9.506749157868157
130.0,9.559084464779692
131.0,9.61115874825905
132.0,9.66297331016603
133.0,9.714529445867376
134.0,9.765828444269166
135.0,9.816871587849032
136.0,9.867660152688224
137.0,9.918195408503506
138.0,9.968478618678905
139.0,10.018511040297296
140.0,10.068293924171826
141.0,10.117828514877182
142.0,10.167116050780713
143.0,10.216157764073385
144.0,10.264954880800582
145.0,10.313508620892767
146.0,10.361820198195968
147.0,10.409890820502135
148.0,10.45772168957933
149.0,10.505314001201768
150.0,10.552668945179724
151.0,10.599787705389259
152.0,10.646671459801833
153.0,10.693321380513751
154.0,10.739738633775458
155.0,10.785924380020703
156.0,10.83187977389555
157.0,10.877605964287234
158.0,10.923104094352903
159.0,10.968375301548175
160.0,11.013420717655588
161.0,11.058241468812891
162.0,11.102838675541198
163.0,11.147213452772998
164.0,11.191366909880035
165.0,11.235300150701036
166.0,11.27901427356931
167.0,11.322510371340202
168.0,11.365789531418427
169.0,11.408852835785238
170.0,11.451701361025487
171.0,11.494336178354537
172.0,11.536758353645045
173.0,11.578968947453598
174.0,11.620969015047242
175.0,11.662759606429853
176.0,11.704341766368394
177.0,11.74571653441903
178.0,11.786884944953114
179.0,11.827848027183054
180.0,11.86860680518804
181.0,11.909162297939647
182.0,11.949515519327305
183.0,11.989667478183648
184.0,12.02961917830974
185.0,12.069371618500167
186.0,12.108925792568002
187.0,12.148282689369658
188.0,12.187443292829604
189.0,12.226408581964966
190.0,12.265179530910002
191.0,12.303757108940454
192.0,12.342142280497784
193.0,12.38033600521328
194.0,12.418339237932049
195.0,12.456152928736886
196.0,12.493778022972034
197.0,12.531215461266806
198.0,12.56846617955911
199.0,12.605531109118845
200.0,12.642411176571178
201.0,12.679107303919718
202.0,12.715620408569558
203.0,12.751951403350219
204.0,12.78810119653846
205.0,12.824070691880994
206.0,12.859860788617079
207.0,12.895472381500998
208.0,12.930906360824427
209.0,12.966163612438692
210.0,13.001245017776924
211.0,13.036151453876082
212.0,13.070883793398886
213.0,13.105442904655632
214.0,13.139829651625902
215.0,13.174044893980165
216.0,13.208089487101256
217.0,13.241964282105782
218.0,13.275670125865375
219.0,13.309207861027893
220.0,13.342578326038456
221.0,13.375782355160428
222.0,13.408820778496267
223.0,13.441694422008277
224.0,13.47440410753926
225.0,13.506950652833059
226.0,13.539334871554997
227.0,13.571557573312228
228.0,13.60361956367398
229.0,13.635521644191677
230.0,13.667264612418997
231.0,13.698849261931796
232.0,13.73027638234796
233.0,13.76154675934713
